Source,Target,Type,id,label,timeset,weight
银,铜,Undirected,95048,,,6.0
石油,分解,Undirected,95056,,,2.0
粉尘,精度,Undirected,95057,,,1.0
水,乙醇,Undirected,95060,,,8.0
红外,电子,Undirected,95065,,,13.0
石油,铁矿石,Undirected,95070,,,24.0
水分,分子,Undirected,95071,,,1.0
能量,石油,Undirected,95076,,,7.0
天然气,玻璃,Undirected,95078,,,3.0
能量,能源,Undirected,95080,,,11.0
空气质量,燃料,Undirected,95094,,,1.0
盐,成分,Undirected,95105,,,3.0
煤气,气体,Undirected,95109,,,2.0
大气污染,二氧化碳,Undirected,95112,,,5.0
塑料,燃烧,Undirected,95113,,,5.0
水泥,营养,Undirected,95114,,,3.0
含量,燃烧,Undirected,95117,,,2.0
石油,油气,Undirected,95119,,,34.0
水泥,水,Undirected,95120,,,13.0
铁,海水,Undirected,95123,,,3.0
水,营养,Undirected,95125,,,17.0
金,太阳能,Undirected,95128,,,5.0
分子,炸药,Undirected,95132,,,20.0
天然,水,Undirected,95138,,,12.0
能源,空气质量,Undirected,95142,,,9.0
石油,焚烧,Undirected,95143,,,5.0
精度,重金属,Undirected,95147,,,2.0
钻石,能量,Undirected,95149,,,1.0
燃烧,炸药,Undirected,95153,,,2.0
电池,营养,Undirected,95157,,,2.0
玻璃,游离,Undirected,95161,,,1.0
微克,能源,Undirected,95164,,,14.0
温室气体,二氧化碳,Undirected,95165,,,12.0
能量,发酵,Undirected,95172,,,7.0
升华,合成,Undirected,95177,,,1.0
玻璃,分子,Undirected,95185,,,9.0
汽油,发酵,Undirected,95189,,,1.0
分子,能量,Undirected,95200,,,9.0
氧气,水,Undirected,95211,,,9.0
天然气,沉淀,Undirected,95220,,,2.0
液体,燃烧,Undirected,95222,,,4.0
大气污染,石油,Undirected,95228,,,6.0
铁矿石,能源,Undirected,95236,,,1.0
柴油,燃料,Undirected,95238,,,3.0
乙醇,天然气,Undirected,95239,,,1.0
金,发酵,Undirected,95244,,,12.0
碳,能源,Undirected,95262,,,40.0
成分,大气污染,Undirected,95268,,,1.0
游离,水,Undirected,95271,,,2.0
能源,银,Undirected,95275,,,2.0
金,煤,Undirected,95276,,,9.0
能源,天然,Undirected,95277,,,11.0
过滤,水,Undirected,95282,,,6.0
大气污染,碳,Undirected,95283,,,33.0
盐,水泥,Undirected,95289,,,1.0
发酵,乙醇,Undirected,95290,,,2.0
PM2.5,族,Undirected,95291,,,2.0
天然气,燃料,Undirected,95293,,,12.0
玻璃,能量,Undirected,95297,,,5.0
能源,柴油,Undirected,95300,,,10.0
铁,分解,Undirected,95303,,,6.0
PM2.5,核能,Undirected,95311,,,1.0
铁,铀,Undirected,95315,,,3.0
PM2.5,燃烧,Undirected,95320,,,3.0
含量,水,Undirected,95322,,,7.0
气体,天然,Undirected,95328,,,3.0
分子,DNA,Undirected,95333,,,7.0
太阳能,碳,Undirected,95336,,,6.0
发酵,能源,Undirected,95338,,,10.0
塑料,水,Undirected,95340,,,4.0
有机物,含量,Undirected,95342,,,3.0
化学物质,水污染,Undirected,95355,,,1.0
水,煤,Undirected,95358,,,5.0
能量,成分,Undirected,95362,,,4.0
成分,天然,Undirected,95366,,,9.0
发酵,水,Undirected,95367,,,10.0
化学,天然,Undirected,95368,,,3.0
铁,盐,Undirected,95371,,,2.0
水分,原子弹,Undirected,95373,,,1.0
玻璃,煤气,Undirected,95381,,,6.0
DNA,水,Undirected,95388,,,9.0
金,DNA,Undirected,95389,,,3.0
水,水污染,Undirected,95402,,,17.0
分子,太阳能,Undirected,95404,,,3.0
矿泉水,铀,Undirected,95407,,,1.0
粉尘,含量,Undirected,95422,,,3.0
含量,气体,Undirected,95441,,,4.0
周期性,能源,Undirected,95447,,,4.0
分子,合成,Undirected,95448,,,7.0
玻璃,乙醇,Undirected,95450,,,4.0
铁,竞争性,Undirected,95457,,,2.0
分子,能源,Undirected,95461,,,7.0
太阳能,石油,Undirected,95462,,,4.0
能源,水污染,Undirected,95467,,,14.0
二氧化碳,碳,Undirected,95468,,,19.0
钢铁,废水,Undirected,95478,,,1.0
氮氧化物,煤,Undirected,95482,,,3.0
周期性,铁矿石,Undirected,95487,,,1.0
钢铁,大气污染,Undirected,95488,,,3.0
钻石,水,Undirected,95492,,,2.0
大气污染,能量,Undirected,95497,,,3.0
水,柴油,Undirected,95502,,,6.0
液体,取样,Undirected,95512,,,1.0
汽油,天然,Undirected,95513,,,1.0
钻石,固体,Undirected,95514,,,1.0
能源,油气,Undirected,95517,,,53.0
金,燃料,Undirected,95524,,,4.0
海洛因,汽油,Undirected,95529,,,1.0
天然气,含量,Undirected,95539,,,2.0
太阳能,电子,Undirected,95540,,,6.0
钢铁,油气,Undirected,95544,,,7.0
氧气,气体,Undirected,95546,,,2.0
碳,成分,Undirected,95563,,,2.0
重金属,水污染,Undirected,95569,,,2.0
燃烧,电子,Undirected,95576,,,6.0
升华,能源,Undirected,95585,,,4.0
矿泉水,乙醇,Undirected,95586,,,1.0
液体,塑料,Undirected,95592,,,2.0
大气污染,汽油,Undirected,95599,,,5.0
回流,碳,Undirected,95601,,,4.0
塑料,能量,Undirected,95605,,,1.0
游离,精度,Undirected,95614,,,1.0
分子,营养,Undirected,95618,,,7.0
冰毒,分子,Undirected,95620,,,1.0
族,腐蚀,Undirected,95621,,,1.0
电子,钢铁,Undirected,95623,,,9.0
水分,燃料,Undirected,95638,,,1.0
回流,能源,Undirected,95640,,,3.0
焚烧,燃烧,Undirected,95656,,,12.0
化工厂,铜,Undirected,95664,,,1.0
金,能量,Undirected,95666,,,18.0
升华,爆炸物,Undirected,95682,,,2.0
金,分解,Undirected,95684,,,2.0
族,天然,Undirected,95685,,,5.0
玻璃,焚烧,Undirected,95695,,,3.0
气体,化学,Undirected,95697,,,2.0
加热,金,Undirected,95710,,,2.0
海水,银,Undirected,95711,,,1.0
沉淀,铜,Undirected,95712,,,2.0
盐,沉淀,Undirected,95713,,,1.0
水污染,竞争性,Undirected,95715,,,3.0
微克,化学,Undirected,95720,,,1.0
金,天然气,Undirected,95723,,,9.0
分子,爆炸物,Undirected,95739,,,18.0
金,燃烧,Undirected,95741,,,9.0
石油,取样,Undirected,95745,,,4.0
化学,汽油,Undirected,95746,,,2.0
冰毒,合成,Undirected,95750,,,6.0
塑料,焚烧,Undirected,95752,,,3.0
铁,太阳能,Undirected,95756,,,2.0
水分,铁,Undirected,95765,,,1.0
含量,燃料,Undirected,95768,,,1.0
能源,温室气体,Undirected,95774,,,18.0
碳,核反应堆,Undirected,95775,,,1.0
汽油,焚烧,Undirected,95787,,,10.0
氧气,能源,Undirected,95808,,,3.0
化学,废水,Undirected,95809,,,1.0
二氧化碳,气体,Undirected,95815,,,2.0
铁,石油,Undirected,95819,,,11.0
天然气,能量,Undirected,95821,,,3.0
分子,燃料,Undirected,95823,,,5.0
爆炸物,族,Undirected,95824,,,1.0
游离,腐蚀,Undirected,95830,,,2.0
石油,核能,Undirected,95833,,,4.0
天然气,油气,Undirected,95836,,,11.0
分子,沉淀,Undirected,95838,,,4.0
能量,精度,Undirected,95860,,,3.0
沉淀,海水,Undirected,95864,,,2.0
化工厂,水,Undirected,95865,,,8.0
水,大气污染,Undirected,95867,,,12.0
金,气体,Undirected,95874,,,2.0
燃料,碳,Undirected,95878,,,2.0
天然气,二氧化碳,Undirected,95879,,,2.0
分解,能源,Undirected,95882,,,4.0
能量,核能,Undirected,95884,,,3.0
过滤,电子,Undirected,95896,,,3.0
金,过滤,Undirected,95907,,,2.0
干燥,水,Undirected,95924,,,4.0
铁,DNA,Undirected,95926,,,5.0
燃烧,化工厂,Undirected,95932,,,2.0
二氧化碳,能源,Undirected,95934,,,16.0
分子,气体,Undirected,95942,,,2.0
分解,成分,Undirected,95944,,,9.0
含量,成分,Undirected,95948,,,2.0
空气质量,水,Undirected,95949,,,29.0
银,沉淀,Undirected,95955,,,2.0
石油,原子弹,Undirected,95971,,,7.0
矿泉水,汽油,Undirected,95976,,,1.0
能量,竞争性,Undirected,95985,,,3.0
能量,营养,Undirected,95989,,,4.0
粉尘,焚烧,Undirected,95990,,,2.0
天然气,铁矿石,Undirected,95991,,,4.0
粉尘,天然,Undirected,95994,,,1.0
化工厂,气体,Undirected,96002,,,2.0
天然气,成分,Undirected,96003,,,2.0
铁,能源,Undirected,96004,,,10.0
铁,焚烧,Undirected,96007,,,4.0
汽油,燃烧,Undirected,96012,,,9.0
废水,分解,Undirected,96021,,,1.0
金,钻石,Undirected,96022,,,17.0
分子,腐蚀,Undirected,96028,,,6.0
燃料,取样,Undirected,96031,,,1.0
天然气,煤气,Undirected,96037,,,5.0
沉淀,游离,Undirected,96041,,,4.0
能源,塑料,Undirected,96043,,,1.0
二氧化碳,玻璃,Undirected,96044,,,1.0
水,能源,Undirected,96051,,,30.0
石油,发酵,Undirected,96054,,,10.0
核能,油气,Undirected,96056,,,4.0
电子,电池,Undirected,96057,,,2.0
干燥,微克,Undirected,96059,,,2.0
分子,核能,Undirected,96071,,,2.0
煤,气体,Undirected,96079,,,1.0
大气污染,化工厂,Undirected,96080,,,1.0
氰化物,煤气,Undirected,96081,,,1.0
合成,发酵,Undirected,96090,,,4.0
氧气,含量,Undirected,96091,,,1.0
腐蚀,发酵,Undirected,96098,,,2.0
铁,分子,Undirected,96114,,,13.0
油气,天然,Undirected,96128,,,5.0
碳,能量,Undirected,96130,,,2.0
银,回流,Undirected,96134,,,1.0
金,空气质量,Undirected,96143,,,2.0
塑料,银,Undirected,96163,,,1.0
煤气,水,Undirected,96170,,,6.0
废水,空气质量,Undirected,96172,,,6.0
大气污染,腐蚀,Undirected,96180,,,1.0
玻璃,DNA,Undirected,96183,,,5.0
分子,竞争性,Undirected,96186,,,4.0
燃烧,天然,Undirected,96193,,,2.0
铁,油气,Undirected,96203,,,2.0
燃料,化学,Undirected,96206,,,2.0
太阳能,钢铁,Undirected,96215,,,4.0
金,能源,Undirected,96220,,,26.0
煤气,氮氧化物,Undirected,96223,,,1.0
腐蚀,石油,Undirected,96225,,,4.0
燃料,水,Undirected,96227,,,15.0
电子,精度,Undirected,96232,,,8.0
石油,煤,Undirected,96234,,,7.0
铁矿石,钢铁,Undirected,96246,,,6.0
能量,加热,Undirected,96253,,,1.0
合成,化学,Undirected,96254,,,4.0
含量,营养,Undirected,96255,,,1.0
粉尘,水泥,Undirected,96257,,,2.0
二氧化碳,水分,Undirected,96277,,,1.0
玻璃,废水,Undirected,96297,,,2.0
海水,成分,Undirected,96313,,,2.0
能源,营养,Undirected,96322,,,5.0
冰毒,发酵,Undirected,96327,,,1.0
钻石,分子,Undirected,96330,,,2.0
水泥,铜,Undirected,96333,,,2.0
燃料,氧气,Undirected,96346,,,8.0
水污染,大气污染,Undirected,96352,,,12.0
核反应堆,天然,Undirected,96355,,,1.0
铁,营养,Undirected,96358,,,3.0
金,盐,Undirected,96362,,,1.0
原子弹,天然,Undirected,96379,,,1.0
金,铁矿石,Undirected,96389,,,3.0
沉淀,能量,Undirected,96401,,,2.0
油气,竞争性,Undirected,96403,,,3.0
海水,氧气,Undirected,96407,,,1.0
升华,竞争性,Undirected,96416,,,2.0
能量,分解,Undirected,96423,,,1.0
水分,发酵,Undirected,96425,,,1.0
钢铁,水污染,Undirected,96437,,,1.0
塑料,有机物,Undirected,96438,,,2.0
天然气,银,Undirected,96447,,,2.0
钢铁,塑料,Undirected,96451,,,1.0
玻璃,精度,Undirected,96460,,,1.0
二氧化碳,含量,Undirected,96464,,,2.0
天然气,碳,Undirected,96466,,,11.0
钢铁,二氧化硫,Undirected,96467,,,2.0
铁,含量,Undirected,96475,,,1.0
焚烧,发酵,Undirected,96483,,,2.0
分解,炸药,Undirected,96486,,,1.0
铁,玻璃,Undirected,96488,,,4.0
