Source,Target,Type,Id,Label,Weight
化学武器,海藻,Undirected,20801,,1.0
玄武岩,X射线衍射,Undirected,20802,,1.0
电容器,电池,Undirected,20804,,1.0
碳氢化合物,化肥,Undirected,20805,,1.0
碳氢化合物,液态,Undirected,21063,,1.0
气味,制备,Undirected,21014,,1.0
铀,放射性同位素,Undirected,20809,,1.0
钚,电池,Undirected,20810,,1.0
热应力,分解,Undirected,21021,,1.0
热应力,集成电路,Undirected,20813,,1.0
微管,神经元,Undirected,20814,,1.0
夸克,粒子,Undirected,20817,,2.0
夸克,等离子体,Undirected,20872,,2.0
热电,能量,Undirected,20820,,2.0
再循环,氦气,Undirected,20822,,1.0
氦气,氦,Undirected,21025,,1.0
废气,气体,Undirected,21026,,1.0
能量转移,粒子,Undirected,21028,,1.0
血糖,化学成分,Undirected,20825,,1.0
天然气,太阳能,Undirected,21060,,1.0
天然气,碳氢化合物,Undirected,20826,,1.0
天然气,燃烧,Undirected,21053,,1.0
化学能,电池,Undirected,21032,,1.0
化学能,有机分子,Undirected,20841,,1.0
火山岩,岩浆,Undirected,21048,,1.0
火山岩,化学反应,Undirected,20831,,1.0
矿物,液体,Undirected,20832,,1.0
粘土矿物,电池,Undirected,21035,,1.0
基本成分,丙烯醛,Undirected,20835,,1.0
丙烯醛,乙醇,Undirected,21036,,1.0
胍,结肠癌,Undirected,20837,,1.0
亲水性,加热,Undirected,20838,,1.0
生物燃料电池,化学能,Undirected,21041,,1.0
有机分子,能量,Undirected,21042,,1.0
有机物质,副产品,Undirected,21043,,1.0
铁离子,含量,Undirected,20843,,1.0
冰毒,麻黄碱,Undirected,20844,,1.0
麻黄碱,毒品,Undirected,21044,,1.0
润滑油,氮气,Undirected,20848,,2.0
试管,气体,Undirected,20855,,2.0
负效应,爱因斯坦,Undirected,20856,,2.0
理论化学,石油工业,Undirected,20857,,2.0
微波激射器,激光,Undirected,20859,,1.0
绝对零度,自旋,Undirected,20861,,2.0
核燃料,电池,Undirected,20866,,2.0
核燃料,聚合物,Undirected,21023,,1.0
神经递质,分解,Undirected,20868,,2.0
液氧,液态,Undirected,20876,,2.0
液态,乙烷,Undirected,20907,,1.0
碳同位素,氢,Undirected,20878,,2.0
丰度,氮,Undirected,20879,,2.0
二甲基硅氧烷,硅橡胶,Undirected,20884,,1.0
硅橡胶,硅胶,Undirected,21049,,1.0
硅胶,电场,Undirected,20885,,1.0
细胞膜,颗粒,Undirected,21051,,1.0
燃烧,化石燃料,Undirected,20888,,1.0
火山灰,颗粒,Undirected,20890,,1.0
镓,半导体,Undirected,20893,,2.0
聚碳酸酯,纳米,Undirected,20895,,2.0
