Source,Target,Type,id,label,timeset,weight
含量,营养,Undirected,6767,,,4.0
矿泉水,含量,Undirected,6774,,,3.0
石油,水,Undirected,6790,,,1.0
沼气,含量,Undirected,6791,,,1.0
钢铁,盐,Undirected,6795,,,1.0
PM2.5,页岩气,Undirected,6800,,,1.0
天然气,碳,Undirected,6808,,,9.0
升华,燃烧,Undirected,6813,,,1.0
废气,发酵,Undirected,6821,,,1.0
水,铅,Undirected,6823,,,1.0
水泥,重金属,Undirected,6824,,,1.0
天然气,钢铁,Undirected,6825,,,3.0
铁,化学,Undirected,6830,,,1.0
二氧化碳,电池,Undirected,6834,,,1.0
沼气,废水,Undirected,6835,,,2.0
发酵,化肥,Undirected,6836,,,3.0
化肥,有机肥料,Undirected,6837,,,1.0
分解,能源,Undirected,6847,,,3.0
镁,富集,Undirected,6848,,,2.0
营养,银,Undirected,6853,,,2.0
电池,煤,Undirected,6862,,,1.0
维生素,半导体,Undirected,6868,,,1.0
升华,浸润,Undirected,6878,,,6.0
天然,成分,Undirected,6895,,,1.0
油气,燃烧,Undirected,6911,,,2.0
二氧化碳,PM2.5,Undirected,6914,,,1.0
石油,油气,Undirected,6916,,,3.0
能源,柴油,Undirected,6917,,,5.0
空气质量,太阳能,Undirected,6918,,,3.0
空气质量,石油,Undirected,6928,,,1.0
能量,水,Undirected,6931,,,3.0
能量,能源,Undirected,6934,,,4.0
PM2.5,能源,Undirected,6945,,,1.0
水泥,铝土矿,Undirected,6946,,,1.0
碳,化学,Undirected,6947,,,3.0
石油,柴油,Undirected,6949,,,1.0
铅,营养,Undirected,6958,,,1.0
汽油,气体,Undirected,6973,,,1.0
镁,铝,Undirected,6979,,,4.0
电池,水,Undirected,6991,,,2.0
分子,营养,Undirected,6994,,,2.0
二氧化碳,燃烧,Undirected,6996,,,1.0
富集,电子,Undirected,6999,,,2.0
加热,微量元素,Undirected,7001,,,1.0
柴油,燃烧,Undirected,7003,,,1.0
热电,燃料,Undirected,7005,,,1.0
矿泉水,能源,Undirected,7011,,,1.0
富集,能量,Undirected,7013,,,1.0
氧气,水,Undirected,7016,,,1.0
玻璃,水,Undirected,7023,,,4.0
水分,有机肥料,Undirected,7026,,,2.0
发酵,有机肥料,Undirected,7029,,,3.0
金,铝土矿,Undirected,7033,,,1.0
化学,浸润,Undirected,7064,,,1.0
有色金属,钢铁,Undirected,7067,,,2.0
氧气,分解,Undirected,7086,,,1.0
升华,能源,Undirected,7090,,,4.0
微量元素,含量,Undirected,7092,,,2.0
沉淀,营养,Undirected,7097,,,1.0
太阳能,电子,Undirected,7101,,,4.0
玻璃,不锈钢,Undirected,7103,,,1.0
肥料,天然,Undirected,7107,,,2.0
天然气,空气质量,Undirected,7109,,,1.0
发酵,天然,Undirected,7111,,,2.0
氧气,二氧化碳,Undirected,7122,,,1.0
含量,气体,Undirected,7123,,,1.0
煤,燃料,Undirected,7141,,,1.0
水,柴油,Undirected,7142,,,2.0
化学,合成,Undirected,7157,,,1.0
沼气,水泥,Undirected,7162,,,3.0
碳,燃烧,Undirected,7165,,,1.0
天然,加热,Undirected,7177,,,1.0
添加剂,水,Undirected,7191,,,1.0
煤,页岩气,Undirected,7195,,,3.0
水分,能量,Undirected,7197,,,1.0
碳,二氧化碳,Undirected,7211,,,6.0
升华,合成,Undirected,7218,,,1.0
水泥,肥料,Undirected,7221,,,2.0
水分,油气,Undirected,7232,,,1.0
能源,油脂,Undirected,7241,,,2.0
金,化学,Undirected,7256,,,2.0
金,冶炼,Undirected,7260,,,1.0
天然气,铝土矿,Undirected,7266,,,2.0
含量,金,Undirected,7284,,,2.0
水分,化肥,Undirected,7289,,,1.0
柴油,二氧化碳,Undirected,7292,,,1.0
有色金属,铝,Undirected,7299,,,1.0
汽油,食用油,Undirected,7300,,,1.0
页岩气,陶瓷,Undirected,7304,,,1.0
铁,铝,Undirected,7305,,,3.0
电子,半导体,Undirected,7308,,,3.0
分子,盐,Undirected,7311,,,2.0
燃烧,营养,Undirected,7315,,,1.0
发酵,石油,Undirected,7326,,,1.0
能量,电子,Undirected,7336,,,3.0
锰,水,Undirected,7338,,,3.0
水泥,二氧化硫,Undirected,7343,,,1.0
沉淀,碳,Undirected,7346,,,2.0
天然,碳,Undirected,7348,,,2.0
能量,二氧化碳,Undirected,7350,,,2.0
燃料,碳,Undirected,7357,,,2.0
电子,页岩气,Undirected,7369,,,3.0
金,能量,Undirected,7377,,,4.0
矿泉水,营养,Undirected,7381,,,2.0
矿泉水,食用油,Undirected,7398,,,1.0
金,沉淀,Undirected,7399,,,4.0
碳,化学需氧量,Undirected,7400,,,1.0
铁,能源,Undirected,7404,,,2.0
浸润,燃烧,Undirected,7419,,,2.0
含量,页岩气,Undirected,7422,,,1.0
发酵,营养,Undirected,7423,,,1.0
铁,能量,Undirected,7426,,,4.0
浸润,天然,Undirected,7461,,,1.0
太阳能,油气,Undirected,7464,,,2.0
金,乙醇,Undirected,7465,,,1.0
太阳能,不锈钢,Undirected,7470,,,1.0
分解,页岩气,Undirected,7471,,,1.0
食品添加剂,化学需氧量,Undirected,7473,,,1.0
金,太阳能,Undirected,7491,,,2.0
再生资源,锰,Undirected,7494,,,2.0
石油,钢铁,Undirected,7500,,,2.0
化学,铝,Undirected,7501,,,1.0
天然,电子,Undirected,7505,,,2.0
富集,煤,Undirected,7506,,,1.0
天然气,铅,Undirected,7526,,,1.0
能源,天然,Undirected,7531,,,2.0
水泥,聚合,Undirected,7536,,,1.0
分解,煤,Undirected,7539,,,1.0
氧气,气体,Undirected,7546,,,1.0
维生素,营养,Undirected,7551,,,3.0
玻璃,太阳能,Undirected,7552,,,2.0
燃烧,石油,Undirected,7559,,,1.0
热电,碳,Undirected,7560,,,1.0
燃料,半导体,Undirected,7565,,,1.0
能源,废水,Undirected,7574,,,2.0
营养,有机肥料,Undirected,7580,,,1.0
玻璃,油脂,Undirected,7594,,,1.0
回流,砝码,Undirected,7604,,,1.0
富集,粉尘,Undirected,7605,,,1.0
大气污染,PM2.5,Undirected,7608,,,2.0
蛋白质,空气质量,Undirected,7610,,,1.0
化学,含量,Undirected,7613,,,1.0
热电,能源,Undirected,7618,,,1.0
塑料,铁,Undirected,7623,,,2.0
塑料,添加剂,Undirected,7626,,,1.0
铜,营养,Undirected,7630,,,1.0
塑料,大气污染,Undirected,7635,,,1.0
铅,能源,Undirected,7642,,,2.0
气体,天然气,Undirected,7644,,,1.0
回流,水泥,Undirected,7646,,,2.0
玻璃,含量,Undirected,7652,,,1.0
